proteinid,model,expression_rs,selection_rs,selection_name,variable_rs
KCNJ2_MOUSE,ESMC_600M,0.3125537073871222,0.38980679205304697,Activity,0.2896062864223979
KCNJ2_MOUSE,SaProt_650M,0.32675445281707244,0.3453632233094138,Activity,0.2896062864223979
OXDA_RHOTO,AMPLIFY_350M,0.28604824634064796,0.32446810930237446,Activity,0.245668548592404
OXDA_RHOTO,ESM3_sm_both,0.3879669124446336,0.33641980708715147,Activity,0.245668548592404
OXDA_RHOTO,ProteinMPNN,0.36740692768241545,0.27993608549377536,Activity,0.245668548592404
OXDA_RHOTO,SolubleMPNN,0.36373805687966293,0.2669738921798722,Activity,0.245668548592404
OXDA_RHOTO,ProstT5,0.22332046106654035,0.32915445216443895,Activity,0.245668548592404
OXDA_RHOTO,ISMC_600M,0.32996603171380556,0.34835306838815955,Activity,0.245668548592404
OXDA_RHOTO,ESMC_600M,0.3454874447020945,0.3791644702822758,Activity,0.245668548592404
OXDA_RHOTO,SaProt_650M,0.3950429367700242,0.4079114615579526,Activity,0.245668548592404
Q53Z42_HUMAN,AMPLIFY_350M,0.3754934357702043,0.12784810204143027,Binding,0.48216402267920133
Q53Z42_HUMAN,ESM3_sm_both,0.5780616708223648,0.3354987461682939,Binding,0.48216402267920133
Q53Z42_HUMAN,ProteinMPNN,0.4324755202652116,0.373551063078177,Binding,0.48216402267920133
Q53Z42_HUMAN,SolubleMPNN,0.42344576817155055,0.35361437803205864,Binding,0.48216402267920133
Q53Z42_HUMAN,ProstT5,0.47122117850563106,0.3016061485563295,Binding,0.48216402267920133
Q53Z42_HUMAN,ISMC_600M,0.5037088711084057,0.28475469441545365,Binding,0.48216402267920133
Q53Z42_HUMAN,ESMC_600M,0.5329882869750091,0.33304841845002336,Binding,0.48216402267920133
Q53Z42_HUMAN,SaProt_650M,0.49500171922950337,0.3030199808515738,Binding,0.48216402267920133
S22A1_HUMAN,AMPLIFY_350M,0.5398710327695653,0.44108498797617496,Activity,0.7506347025320715
S22A1_HUMAN,ESM3_sm_both,0.5598025177297559,0.47918294087466606,Activity,0.7506347025320715
S22A1_HUMAN,ProteinMPNN,0.4665075222702843,0.3894561310016475,Activity,0.7506347025320715
S22A1_HUMAN,SolubleMPNN,0.39094951521276783,0.3462339526261887,Activity,0.7506347025320715
S22A1_HUMAN,ProstT5,0.4983432011504628,0.4457944579768212,Activity,0.7506347025320715
S22A1_HUMAN,ISMC_600M,0.608219560000425,0.5025859696294985,Activity,0.7506347025320715
S22A1_HUMAN,ESMC_600M,0.6217871135798999,0.5352663525544763,Activity,0.7506347025320715
S22A1_HUMAN,SaProt_650M,0.6247208503162482,0.5283384373604141,Activity,0.7506347025320715
SPIKE_SARS2,AMPLIFY_350M,0.017062004103311174,-0.007396894047843867,Binding,0.7377423666827181
SPIKE_SARS2,ESM3_sm_both,0.5147947499404775,0.44571303974462684,Binding,0.7377423666827181
SPIKE_SARS2,ProteinMPNN,0.6051885774798071,0.5366605176700767,Binding,0.7377423666827181
SPIKE_SARS2,SolubleMPNN,0.5940082204807536,0.5368279815681614,Binding,0.7377423666827181
SPIKE_SARS2,ProstT5,0.0978853832700221,0.04228277983864499,Binding,0.7377423666827181
SPIKE_SARS2,ISMC_600M,0.4969422172869999,0.5285255795804256,Binding,0.7377423666827181
SPIKE_SARS2,ESMC_600M,0.018016817269768386,-0.02006711986492528,Binding,0.7377423666827181
SPIKE_SARS2,SaProt_650M,0.6357705473644906,0.534445627903389,Binding,0.7377423666827181
VKOR1_HUMAN,AMPLIFY_350M,0.474016649192109,0.4309674133321173,Activity,0.25001534751884863
VKOR1_HUMAN,ESM3_sm_both,0.5380315069297276,0.37230426753390405,Activity,0.25001534751884863
VKOR1_HUMAN,ProteinMPNN,0.5677079808229268,0.20137505257123428,Activity,0.25001534751884863
VKOR1_HUMAN,SolubleMPNN,0.38752553782292026,0.16199362298277234,Activity,0.25001534751884863
VKOR1_HUMAN,ProstT5,0.46049664223842746,0.4033133949300543,Activity,0.25001534751884863
VKOR1_HUMAN,ISMC_600M,0.4544981453652651,0.41499215546517676,Activity,0.25001534751884863
VKOR1_HUMAN,ESMC_600M,0.4858885264811522,0.43329620558152815,Activity,0.25001534751884863
VKOR1_HUMAN,SaProt_650M,0.5154623670889784,0.3820529860353419,Activity,0.25001534751884863
